flowerID,leafID,contrast,visual_system
flower_Scholtzia_capitata,leaves_Callistemon_phoeniceus,6.29392184,USML
flower_Scholtzia_capitata,leaves_Grevillea_asteriscosa,2.421186598,USML
flower_Scholtzia_capitata,leaves_Grevillea_eriostachys,3.498356684,USML
flower_Scholtzia_capitata,leaves_Melaleuca_fulgens,5.680105125,USML
flower_Scholtzia_capitata,leaves_Verticordia_plumosa,5.364921406,USML
flower_Scholtzia_capitata,leaves_Acacia_glaucoptera,4.835602994,USML
flower_Scholtzia_capitata,leaves_Goodenia_scapigera,3.766738799,USML
flower_Scholtzia_capitata,leaves_Calothamnus_quadrifidus,11.57996329,USML
flower_Scholtzia_capitata,leaves_Eremophila_nivea,5.262835761,USML
flower_Scholtzia_capitata,leaves_Olearia_homolepis,4.187195557,USML
flower_Scholtzia_capitata,leaves_Daviesia_longifolia,5.683188311,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_petiolaris,4.447865812,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_wyolensis,6.581379895,USML
flower_Scholtzia_capitata,leaves_Eremophila_maculata,3.94669635,USML
flower_Scholtzia_capitata,leaves_Verticordia_dichroma,7.103025978,USML
flower_Scholtzia_capitata,leaves_Chamelaucium_uncinatum,7.428873906,USML
flower_Scholtzia_capitata,leaves_Gastrolobium_bilobus,4.700718071,USML
flower_Scholtzia_capitata,leaves_Eremophila_calorhabdos,3.930075748,USML
flower_Scholtzia_capitata,leaves_Scholtzia_spathulata,5.691568441,USML
flower_Scholtzia_capitata,leaves_Goodenia_sp,4.914834615,USML
flower_Scholtzia_capitata,leaves_Eremophila_hygrophana,3.934782508,USML
flower_Scholtzia_capitata,leaves_Eremophila_georgei,3.884043158,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_sp1,4.513996894,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_sp2,4.20640273,USML
flower_Scholtzia_capitata,leaves_Eucalyptus_sp3,4.229435675,USML
flower_Scholtzia_capitata,leaves_Callistemon_salignus,3.891723975,USML
flower_Scholtzia_capitata,leaves_Grevillea_x_semperflorens,6.66382892,USML
flower_Scholtzia_capitata,leaves_Senna_artemisioides,4.63616645,USML
flower_Scholtzia_capitata,leaves_Senna_sp,5.461879835,USML
